from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,generation,3,demand,22522.2,27.0,260.0,98.97083661361752,gen0,dem3,Generation cluster 0 to Demand cluster 3,,,,,98.97083661361752,0.0,0.0,False,[]
0,generation,4,demand,62293.549,35.0,333.14285714285717,109.31279564164609,gen0,dem4,Generation cluster 0 to Demand cluster 4,,,,,109.31279564164609,0.0,0.0,False,[]
1,demand,0,demand,1787.476,1.0,400.0,357.7245602680443,dem1,dem0,Demand cluster 1 to Demand cluster 0,,,,,357.7245602680443,0.0,0.0,False,[]
1,demand,3,demand,7328.652,6.0,310.0,194.93672752255887,dem1,dem3,Demand cluster 1 to Demand cluster 3,,,,,194.93672752255887,0.0,0.0,False,[]
1,demand,4,demand,1787.476,1.0,400.0,270.63976728253374,dem1,dem4,Demand cluster 1 to Demand cluster 4,,,,,270.63976728253374,0.0,0.0,False,[]
1,generation,0,demand,37760.436,25.0,313.6,116.21842355243558,gen1,dem0,Generation cluster 1 to Demand cluster 0,,,,,116.21842355243558,0.0,0.0,False,[]
1,generation,1,demand,2949.336,6.0,220.0,241.51139299249542,gen1,dem1,Generation cluster 1 to Demand cluster 1,,,,,241.51139299249542,0.0,0.0,False,[]
1,generation,2,demand,2279.032,2.0,310.0,184.5430134258789,gen1,dem2,Generation cluster 1 to Demand cluster 2,,,,,184.5430134258789,0.0,0.0,False,[]
1,generation,4,demand,4736.812,7.0,245.71428571428572,171.02764765971207,gen1,dem4,Generation cluster 1 to Demand cluster 4,,,,,171.02764765971207,0.0,0.0,False,[]
1,renewable,2,demand,13227.325,12.0,250.0,109.26965856465428,sol1,dem2,Renewable cluster 1 to Demand cluster 2,,,,,109.26965856465428,0.0,0.0,False,[]
2,demand,0,demand,5853.985,3.0,340.0,239.53651620175626,dem2,dem0,Demand cluster 2 to Demand cluster 0,,,,,239.53651620175626,0.0,0.0,False,[]
