GEM location ID,bus_id
L100000500026,way/287393618-500
L100000200430,BR580-500
L100000200431,BR657-440
L100000200432,BR579-500
L100000200433,BR629-500
L100000200434,BR657-440
L100000201246,BR657-440
L100000200435,BR657-440
L100000200436,BR657-440
L100000200437,BR579-500
L100000201247,relation/6844204-500
L100000200438,BR400-500
L100000200439,way/1090304792-500
L100000200440,BR650-440
L100000200441,BR580-500
L100000200442,BR661-440
L100000200411,BR663-440
L100000200443,BR663-440
L100000200444,way/168664395-500
L100000200421,way/304646981-500
L100000200445,BR292-500
L100000200446,relation/6844204-500
L100000200447,way/206109551-500
L100000200448,BR500-500
L100000201249,BR641-500
L100000201250,way/174017677-440
L100000200422,way/174852067-500
L100000200449,way/174852067-500
L100000200450,BR292-500
L100000200451,way/174017677-440
L100000201251,way/537470701-500
L100000200452,BR543-500
L100000200453,BR641-500
L100000200454,BR663-440
L100000200455,way/302735025-500
L100000200456,way/302735025-500
L100000200457,BR592-500
L100000200458,BR625-440
L100000200459,BR777-500
L100000200460,relation/6844204-500
L100000200461,BR541-500
L100000201252,BR903-500
L100000200462,way/537470701-500
L100000200463,way/160888682-440
L100000200464,BR643-500
L100000201253,relation/6844204-500
L100000200465,BR630-440
L100000201254,BR541-500
L100000200466,BR558-500
L100000200467,BR629-500
L100000200468,way/1090304792-500
L100000201255,BR657-440
L100000200469,way/537470701-500
L100000200470,way/537470701-500
L100000201256,BR657-440
L100000200471,way/174852067-500
L100000200472,way/94745966-500
L100000200412,BR663-440
L100000200473,way/174017677-440
L100000200474,BR984-525
L100000200413,way/306104018-500
L100000200476,BR673-440
L100000200477,BR482-500
L100000200478,BR629-500
L100000200479,BR630-440
L100000200480,way/302931307-440
L100000200481,BR629-500
L100000200482,BR662-440
L100000200483,way/537470701-500
L100000200484,BR292-500
L100000200485,BR670-440
L100000200414,BR292-500
L100000200486,BR632-440
L100000200487,BR632-440
L100000200488,way/174852067-500
L100000200489,BR676-440
L100000200490,BR592-500
L100000200492,BR621-440
L100000200493,BR657-440
L100000200494,relation/6844204-500
L100000200495,BR500-500
L100000201257,BR515-500
L100000200496,way/174017677-440
L100000200497,way/174017677-440
L100000200498,BR482-500
L100000200499,BR666-440
L100000201258,BR487-500
L100000200501,BR630-440
L100000200502,BR487-500
L100000200503,BR650-440
L100000200504,BR626-440
L100000200505,BR626-440
L100000201259,BR446-500
L100000200507,BR663-440
L100000200508,BR624-440
L100000200509,way/1090304792-500
L100000200510,relation/6844204-500
L100000200511,way/307168542-230
L100000200512,BR629-500
L100000200513,BR606-500
L100000200514,BR606-500
L100000200515,BR606-500
L100000200516,BR646-440
L100000200517,BR609-440
L100000200518,BR629-500
L100000201260,BR657-440
L100000200520,BR371-500
L100000200521,BR624-440
L100000200522,BR676-440
L100000200523,BR227-500
L100000200524,way/168664395-500
L100000200525,relation/6844204-500
L100000200526,relation/6844204-500
L100000200527,way/525253078-500
L100000200528,BR515-500
L100000200529,way/348815398-500
L100000200530,BR732-500
L100000200531,BR866-500
L100000200532,BR866-500
L100000200533,BR788-500
L100000201261,BR732-500
L100000201262,BR657-440
L100000200534,BR550-500
L100000200535,BR580-500
L100000200536,BR650-440
L100000200537,BR657-440
L100000200500,BR371-500
L100000200538,BR663-440
L100000200539,BR629-500
L100000200541,BR676-500
L100000201264,BR630-440
L100000200542,way/302931307-440
L100000200543,way/302931307-440
L100000200544,way/537470701-500
L100000200545,BR629-500
L100000200547,BR629-500
L100000200548,BR515-500
L100000201266,way/174017677-440
L100000200550,way/286006777-440
L100000200415,BR676-500
L100000200551,BR662-440
L100000200552,BR657-440
L100000200553,BR626-440
L100000200554,BR300-500
L100000200555,BR624-440
L100000200556,BR624-440
L100000200557,BR629-500
L100000200558,BR515-500
L100000200559,BR515-500
L100000200560,BR630-440
L100000200563,BR732-500
L100000200564,BR676-500
L100000200565,BR543-500
L100000200566,way/172071437-440
L100000200429,BR632-440
L100000200567,way/167516187-500
L100000201267,BR487-500
L100000200568,BR663-440
L100000200569,BR639-440
L100000200570,BR639-440
L100000200572,BR666-440
L100000200573,BR641-500
L100000200574,way/302735025-440
L100000200575,way/302735025-440
L100000200576,BR641-500
L100000200577,BR629-500
L100000200578,way/174017677-440
L100000200579,BR550-500
L100000200580,BR657-440
L100000200581,BR662-440
L100000200582,way/206109551-500
L100000200583,BR544-500
L100000200584,BR642-500
L100000200585,BR650-440
L100000200423,BR661-440
L100000200586,BR629-500
L100000200587,BR630-440
L100000200588,BR661-440
L100000200589,BR478-500
L100000200590,BR650-440
L100000201269,way/174852067-440
L100000200591,BR543-500
L100000200592,way/174852067-440
L100000200593,way/174852067-440
L100000200594,BR628-440
L100000200595,BR628-440
L100000200596,way/168664395-500
L100000200424,BR626-440
L100000200597,BR141-500
L100000200598,BR579-500
L100000200599,BR373-500
L100000201270,BR550-500
L100000200417,relation/6844204-500
L100000200600,BR515-500
L100000200601,way/306104018-500
L100000200418,BR550-500
L100000200602,BR673-440
L100000200603,BR662-440
L100000200604,BR662-440
L100000200605,BR515-500
L100000200606,BR487-500
L100000200607,BR487-500
L100000200608,BR487-500
L100000200609,BR639-440
L100000200425,BR756-440
L100000201272,BR758-440
L100000200611,BR657-440
L100000200612,BR662-440
L100000200613,BR662-440
L100000200614,way/174852067-500
L100000200615,BR614-440
L100000200616,BR629-500
L100000200617,BR544-500
L100000200618,BR550-500
L100000200619,BR550-500
L100000200620,BR499-500
L100000200621,BR606-500
L100000200623,BR629-500
L100000200624,BR625-440
L100000200625,BR629-500
L100000200626,BR657-440
L100000200627,BR657-440
L100000200628,BR728-440
L100000200629,BR592-500
L100000200630,BR556-500
L100001000114,BR610-500
L100000408531,BR400-500
L100000406485,way/131742617-500
L100001000109,BR691-500
L100000406484,BR583-500
L100000407962,way/287374167-500
L100000406483,BR679-500
L100000408530,BR703-500
L100000408529,BR400-500
L100000408528,BR204-500
L100000407957,BR63-500
L100000406488,BR713-500
L100000406487,BR400-500
L100000408527,way/304646981-500
L100000408526,BR319-230
L100001000113,BR63-500
L100001000110,BR613-500
L100001000111,way/626479359-500
L100000406502,way/168664395-500
L100000408525,way/168664395-500
L100000408524,BR258-500
L100000406501,BR758-440
L100000406499,BR63-500
L100000406486,BR683-500
L100000408522,BR61-500
L100000408521,BR61-500
L100000406496,BR37-500
L100000408520,BR400-500
L100000408519,BR400-500
L100000406493,BR644-500
L100000406492,BR644-500
L100000408516,way/306104018-500
L100000406489,BR683-500
L100000407560,BR340-500
L100000408515,BR400-500
L100000408514,BR583-500
L100000406507,BR652-500
L100000406505,way/304646981-500
L100001007728,BR63-500
L100000408513,way/304646981-500
L100000406503,BR148-500
L100000100134,BR886-500
L100000408546,BR691-500
L100000408545,BR691-500
L100000407562,BR340-500
L100000406514,BR652-500
L100000406513,way/302901044-440
L100000408544,BR579-500
L100000408543,way/304646981-500
L100000407972,way/304646981-500
L100000408542,BR78-500
L100000406512,BR652-500
L100000406511,way/304646981-500
L100000408541,way/304646981-500
L100000406510,way/385000005-500
L100000406521,BR652-500
L100000406520,BR652-500
L100000406519,BR652-500
L100000406500,BR764-440
L100000406522,BR20-500
L100000408540,way/306104018-500
L100000406523,BR125-500
L100000408539,BR227-500
L100000408538,BR400-500
L100000408537,BR227-500
L100000408536,BR296-500
L100000406690,BR764-440
L100000408535,way/304646981-500
L100000408534,BR610-500
L100000408533,BR691-500
L100000406527,BR340-500
L100000406524,BR20-500
L100000408532,BR154-500
L100000408551,BR579-500
L100000406528,BR627-500
L100000408550,BR400-500
L100000406532,BR683-500
L100001000107,way/525253078-500
L100000407968,way/304646981-500
L100000406529,BR691-500
L100000406534,BR949-525
L100001000112,BR613-500
L100000408549,way/304646981-500
L100000406546,BR273-230
L100000406530,BR400-500
L100000406545,BR63-500
L100000408555,BR227-500
L100000408554,way/1090304792-500
L100000408553,way/1090304792-500
L100000406543,BR258-500
L100000406541,BR652-500
L100000408552,BR258-500
L100000406540,relation/9328495-500
L100000406539,BR652-500
L100000408557,BR613-500
L100000408559,way/306104018-500
L100000100122,BR20-500
L100000100120,BR37-500
L100000100128,way/626452961-500
L100000100129,way/526061686-500
L100000100118,BR63-500
L100000100131,way/526061686-525
L100000904938,BR164-500
L100000904950,BR1013-525
L100000904956,way/596594961-500
L100000904957,BR163-500
L100000904958,BR147-500
L100000904959,BR63-500
L100000904960,BR164-500
L100000904961,BR355-500
L100000904962,BR355-500
L100000904963,BR142-500
L100000904964,BR187-500
L100000904965,BR355-500
L100000904988,BR164-500
L100000904989,BR103-500
L100000904990,BR103-500
L100000904992,BR142-500
L100000904993,BR142-500
L100000904994,BR103-500
L100000905001,BR304-500
L100000905002,BR304-500
L100000905003,BR308-500
L100000905006,BR51-500
L100000905008,BR135-500
L100000905009,BR142-500
L100000905012,BR187-500
L100000905022,BR135-500
L100000905023,BR51-500
L100000905024,BR652-500
L100000905025,BR992-525
L100000905028,BR103-500
L100000905030,BR296-500
L100000905031,way/596594961-500
L100000905033,BR400-500
L100000905034,BR348-500
L100000905035,BR400-500
L100000905036,BR400-500
L100000905037,BR248-500
L100000905038,BR304-500
L100000905039,BR400-500
L100000905040,BR400-500
L100000905041,BR413-500
L100000905042,BR400-500
L100000905043,BR400-500
L100000905044,BR187-500
L100000905045,BR187-500
L100000905046,BR264-500
L100000905047,BR159-500
L100000905048,BR163-500
L100000905049,BR400-500
L100000905050,BR78-500
L100000905051,BR187-500
L100000905052,BR246-500
L100000905053,BR46-500
L100000905057,way/596594961-500
L100000905058,BR103-500
L100000905059,BR135-500
L100000905060,BR154-500
L100000905069,BR430-500
L100000905070,BR135-500
L100000905071,BR268-500
L100000905072,BR337-500
L100000905073,BR135-500
L100000905074,way/526083466-525
L100000905075,BR439-500
L100000905076,way/626452961-500
L100000905077,way/526083475-525
L100000905078,way/626452961-500
L100000905079,way/526083475-525
L100000905080,BR221-500
L100000905081,BR221-500
L100000905082,BR221-500
L100000905083,BR294-500
L100000905084,BR462-500
L100000905087,BR337-500
L100000905088,BR339-500
L100000905096,BR80-500
L100000905097,BR51-500
L100000905099,BR147-500
L100000905103,BR135-500
L100000905106,BR135-500
L100000905107,BR135-500
L100000905108,BR135-500
L100000905109,BR135-500
L100000905110,BR135-500
L100000905112,BR992-525
L100000905113,BR103-500
L100000905114,BR135-500
L100000905115,BR135-500
L100000905116,BR135-500
L100000905117,BR135-500
L100000905118,BR135-500
L100000905119,BR46-500
L100000905121,BR103-500
L100000905122,BR135-500
L100000905123,BR80-500
L100000905124,BR46-500
L100000905125,BR63-500
L100000905126,BR51-500
L100000905127,way/603494578-500
L100000905128,BR221-500
L100000905130,BR135-500
L100000905133,BR135-500
L100000905134,BR164-500
L100000905135,BR114-500
L100000905136,BR135-500
L100000905137,BR153-500
L100000905138,BR114-500
L100000905139,BR114-500
L100000905140,BR120-500
L100000905141,way/603494578-500
L100000905142,BR72-500
L100000905144,BR194-500
L100000905145,BR304-500
L100000905148,BR366-500
L100000905154,BR135-500
