bus_id,grid_cell
IT1-220,ITA_84
IT10-220,ITA_71
IT100-220,ITA_90
IT101-220,ITA_17
IT101-220,wof-ITA_52
IT102-380,ITA_6
IT103-220,ITA_55
IT103-220,wof-ITA_88
IT104-220,ITA_16
IT104-220,wof-ITA_40
IT105-220,ITA_16
IT105-220,wof-ITA_40
IT106-220,ITA_16
IT106-220,wof-ITA_40
IT107-220,ITA_16
IT107-220,wof-ITA_40
IT108-220,ITA_16
IT108-220,wof-ITA_40
IT109-220,ITA_16
IT109-220,wof-ITA_40
IT11-220,ITA_83
IT110-220,ITA_5
IT110-220,wof-ITA_40
IT111-220,ITA_5
IT111-220,wof-ITA_40
IT112-220,ITA_5
IT112-220,wof-ITA_40
IT113-220,ITA_5
IT113-220,wof-ITA_40
IT115-220,ITA_76
IT115-220,wof-ITA_101
IT116-220,ITA_76
IT116-220,wof-ITA_101
IT117-220,ITA_150
IT118-380,ITA_150
IT119-380,ITA_117
IT12-220,ITA_141
IT120-380,ITA_165
IT120-380,wof-ITA_203
IT121-380,ITA_165
IT121-380,wof-ITA_203
IT122-380,ITA_116
IT123-380,ITA_116
IT124-380,ITA_185
IT124-380,wof-ITA_246
IT125-380,ITA_174
IT126-220,ITA_162
IT126-220,wof-ITA_201
IT127-380,ITA_195
IT128-220,ITA_162
IT128-220,wof-ITA_216
IT129-220,ITA_162
IT129-220,wof-ITA_201
IT13-380,ITA_32
IT130-220,ITA_173
IT130-220,wof-ITA_216
IT131-380,ITA_25
IT131-380,wof-ITA_46
IT132-380,ITA_25
IT132-380,wof-ITA_46
IT133-220,ITA_213
IT133-220,wof-ITA_291
IT134-380,ITA_204
IT135-220,ITA_193
IT135-220,wof-ITA_260
IT136-380,ITA_203
IT136-380,wof-ITA_260
IT137-220,ITA_202
IT137-220,wof-ITA_259
IT138-380,ITA_189
IT138-380,wof-ITA_241
IT139-380,ITA_189
IT139-380,wof-ITA_241
IT14-220,ITA_60
IT140-380,ITA_180
IT140-380,wof-ITA_241
IT141-380,ITA_178
IT141-380,wof-ITA_224
IT142-380,ITA_168
IT143-380,ITA_168
IT15-220,ITA_60
IT16-220,ITA_60
IT17-220,ITA_83
IT18-220,ITA_109
IT19-380,ITA_141
IT19-380,wof-ITA_172
IT2-220,ITA_94
IT20-220,ITA_43
IT21-380,ITA_140
IT21-380,wof-ITA_172
IT23-380,ITA_70
IT24-380,ITA_70
IT25-380,ITA_70
IT26-380,ITA_70
IT27-220,ITA_82
IT28-380,ITA_70
IT29-220,ITA_124
IT29-220,wof-ITA_152
IT3-380,ITA_44
IT30-220,ITA_82
IT31-220,ITA_124
IT31-220,wof-ITA_152
IT33-220,ITA_124
IT33-220,wof-ITA_152
IT34-380,ITA_140
IT34-380,wof-ITA_172
IT36-220,ITA_124
IT36-220,wof-ITA_152
IT38-220,ITA_124
IT38-220,wof-ITA_152
IT39-220,ITA_153
IT39-220,wof-ITA_191
IT4-380,ITA_44
IT42-220,ITA_82
IT43-380,ITA_43
IT44-380,ITA_70
IT45-380,ITA_70
IT46-220,ITA_82
IT47-220,ITA_9
IT48-220,ITA_93
IT49-220,ITA_70
IT5-220,ITA_21
IT50-220,ITA_31
IT51-380,ITA_70
IT52-220,ITA_31
IT53-220,ITA_93
IT54-380,ITA_70
IT55-380,ITA_93
IT56-380,ITA_70
IT57-380,ITA_70
IT58-220,ITA_108
IT58-220,wof-ITA_152
IT59-220,ITA_108
IT59-220,wof-ITA_152
IT6-220,ITA_141
IT60-380,ITA_9
IT60-400,ITA_9
IT61-380,ITA_9
IT61-400,ITA_9
IT62-380,ITA_108
IT62-380,wof-ITA_152
IT63-220,ITA_43
IT64-220,ITA_93
IT65-220,ITA_42
IT66-220,ITA_30
IT67-220,ITA_42
IT68-220,ITA_30
IT69-220,ITA_42
IT7-220,ITA_109
IT70-220,ITA_107
IT70-220,wof-ITA_132
IT71-220,ITA_107
IT71-220,wof-ITA_151
IT72-220,ITA_81
IT73-380,ITA_92
IT74-220,ITA_19
IT75-220,ITA_81
IT76-220,ITA_81
IT77-380,ITA_8
IT78-380,ITA_8
IT79-380,ITA_3
IT8-220,ITA_83
IT80-220,ITA_8
IT81-220,ITA_8
IT82-220,ITA_8
IT83-220,ITA_7
IT84-220,ITA_80
IT85-220,ITA_7
IT86-220,ITA_41
IT87-220,ITA_7
IT88-220,ITA_7
IT89-220,ITA_7
IT9-220,ITA_60
IT90-220,ITA_91
IT91-220,ITA_7
IT92-380,ITA_68
IT93-380,ITA_68
IT94-380,ITA_79
IT95-220,ITA_28
IT95-220,wof-ITA_52
IT96-220,ITA_40
IT96-220,wof-ITA_60
IT97-220,ITA_28
IT97-220,wof-ITA_52
IT98-220,ITA_28
IT98-220,wof-ITA_52
IT99-220,ITA_17
IT99-220,wof-ITA_52
relation/13020240-220,ITA_115
relation/13020240-220,wof-ITA_147
relation/1377432-220,ITA_82
relation/13844905-220,ITA_165
relation/13844905-220,wof-ITA_203
relation/13844905-380,ITA_165
relation/13844905-380,wof-ITA_203
relation/17467354-380,ITA_115
relation/17467354-380,wof-ITA_147
relation/6277789-220,ITA_70
relation/6277789-380,ITA_70
relation/6301099-220,ITA_84
relation/7837848-220,ITA_70
relation/8840420-220,ITA_162
relation/8840420-220,wof-ITA_201
way/100113593-380,ITA_64
way/100113593-380,wof-ITA_101
way/100253768-380,ITA_76
way/100253768-380,wof-ITA_101
way/100407576-220,ITA_107
way/100407576-220,wof-ITA_151
way/100407576-380,ITA_107
way/100407576-380,wof-ITA_151
way/100952845-220,ITA_29
way/100952845-380,ITA_29
way/101346507-220,ITA_29
way/101346508-220,ITA_29
way/102185356-220,ITA_3
way/102185362-220,ITA_4
way/102287716-220,ITA_19
way/102287716-380,ITA_19
way/102675884-220,ITA_4
way/103007030-220,ITA_9
way/103007085-220,ITA_9
way/103127417-220,ITA_9
way/103264820-220,ITA_30
way/103306951-380,ITA_205
way/103306951-380,wof-ITA_276
way/103381531-220,ITA_213
way/103381531-220,wof-ITA_291
way/103381531-380,ITA_213
way/103381531-380,wof-ITA_291
way/103386958,ITA_215
way/103386958,wof-ITA_306
way/103386958-380,ITA_215
way/103386958-380,wof-ITA_306
way/103418587-220,ITA_21
way/103549584-220,ITA_94
way/103653565-220,ITA_40
way/103653565-220,wof-ITA_60
way/103653567-220,ITA_5
way/103653567-220,wof-ITA_28
way/103653567-225,ITA_5
way/103653567-225,wof-ITA_28
way/103653591-220,ITA_17
way/103653591-220,wof-ITA_52
way/103653591-380,ITA_17
way/103653591-380,wof-ITA_52
way/103725268-220,ITA_7
way/103725446-220,ITA_8
way/103974940-380,ITA_8
way/103974946-220,ITA_7
way/104114052-220,ITA_21
way/104239286-220,ITA_17
way/104239286-220,wof-ITA_52
way/104239342-220,ITA_19
way/104239352-380,ITA_19
way/104321356-220,ITA_204
way/104359058-380,ITA_6
way/105062415-220,ITA_7
way/105141307-220,ITA_7
way/105141350-220,ITA_7
way/105141365-220,ITA_19
way/105141365-380,ITA_19
way/105141365-400,ITA_19
way/105153431-220,ITA_8
way/105153431-380,ITA_8
way/1051991398-220,ITA_7
way/105462289-220,ITA_21
way/105757794-220,ITA_55
way/105757794-220,wof-ITA_73
way/105757794-380,ITA_55
way/105757794-380,wof-ITA_73
way/105757795-220,ITA_16
way/105757795-220,wof-ITA_40
way/105801489-220,ITA_95
way/105827045-220,ITA_95
way/107204719-220,ITA_42
way/107438024-380,ITA_41
way/107681459-380,ITA_65
way/107681459-380,wof-ITA_87
way/107683818-380,ITA_78
way/108020416-220,ITA_193
way/108020416-220,wof-ITA_260
way/108020416-380,ITA_193
way/108020416-380,wof-ITA_260
way/108050523-220,ITA_115
way/108050523-220,wof-ITA_147
way/109588422-380,ITA_202
way/109588422-380,wof-ITA_273
way/109756016-380,ITA_208
way/109756016-380,wof-ITA_272
way/1097982502-380,ITA_168
way/1098087457-380,ITA_204
way/1098527891-220,ITA_163
way/1098527891-220,wof-ITA_202
way/109993642-380,ITA_190
way/109993642-380,wof-ITA_242
way/109997676-380,ITA_189
way/109997676-380,wof-ITA_241
way/1100665914-380,ITA_208
way/1100665914-380,wof-ITA_272
way/110138220-220,ITA_180
way/110138220-220,wof-ITA_226
way/110138220-380,ITA_180
way/110138220-380,wof-ITA_226
way/110310021-380,ITA_201
way/110310021-380,wof-ITA_258
way/110330925-380,ITA_202
way/110330925-380,wof-ITA_259
way/1103579629-380,ITA_180
way/1103579629-380,wof-ITA_226
way/110660048-380,ITA_189
way/110660048-380,wof-ITA_241
way/111020792-220,ITA_81
way/1117128898-380,ITA_168
way/1117128898-380,wof-ITA_224
way/1134655722-220,ITA_162
way/1134655722-220,wof-ITA_201
way/114659171-220,ITA_162
way/114659171-220,wof-ITA_216
way/114661587-220,ITA_162
way/114661587-220,wof-ITA_201
way/114661587-380,ITA_162
way/114661587-380,wof-ITA_201
way/114931087-380,ITA_78
way/1155109902-220,ITA_56
way/1155109902-220,wof-ITA_74
way/1155116746-220,ITA_112
way/1155116746-220,wof-ITA_138
way/1158716725,ITA_114
way/1158716725,wof-ITA_166
way/1158716725-380,ITA_114
way/1158716725-380,wof-ITA_166
way/116517585-380,ITA_57
way/116518388-380,ITA_58
way/116519166-380,ITA_58
way/116692433-220,ITA_69
way/116697005-380,ITA_81
way/116797658-220,ITA_81
way/116797658-380,ITA_81
way/118987056-220,ITA_34
way/118987056-380,ITA_34
way/1203262444-220,ITA_42
way/120356593-380,ITA_69
way/1204275778-220,ITA_42
way/1205235724-220,ITA_42
way/120916823-220,ITA_102
way/124220303-220,ITA_173
way/124220303-220,wof-ITA_216
way/126203383-380,ITA_206
way/126203383-380,wof-ITA_261
way/129406824-220,ITA_107
way/129406824-220,wof-ITA_151
way/131291789-380,ITA_69
way/131295368-220,ITA_92
way/1317893096-220,ITA_178
way/1317893096-220,wof-ITA_224
way/132455976-220,ITA_162
way/132455976-220,wof-ITA_201
way/132637884-220,ITA_162
way/132637884-220,wof-ITA_216
way/132638645-220,ITA_162
way/132638645-220,wof-ITA_216
way/132643428-220,ITA_173
way/132643428-220,wof-ITA_216
way/132645607-220,ITA_162
way/132645607-220,wof-ITA_216
way/132701023-220,ITA_162
way/132701023-220,wof-ITA_216
way/132701980-220,ITA_162
way/132701980-220,wof-ITA_201
way/132701980-380,ITA_162
way/132701980-380,wof-ITA_201
way/132702940-220,ITA_162
way/132702940-220,wof-ITA_201
way/132725149-220,ITA_162
way/132725149-220,wof-ITA_201
way/132726160-220,ITA_162
way/132726160-220,wof-ITA_201
way/133601335-220,ITA_42
way/133601335-380,ITA_42
way/135270825-220,ITA_42
way/136457747-220,ITA_137
way/136457747-220,wof-ITA_186
way/136762727,ITA_26
way/136762727,wof-ITA_47
way/136762727-220,ITA_26
way/136762727-220,wof-ITA_47
way/136762727-380,ITA_26
way/136762727-380,wof-ITA_47
way/136789074,ITA_76
way/136789074,wof-ITA_101
way/137317951-220,ITA_42
way/139442467-220,ITA_90
way/139442467-380,ITA_90
way/139758444-220,ITA_90
way/139975773-380,ITA_78
way/140715391-220,ITA_88
way/140715391-380,ITA_88
way/141046481-220,ITA_24
way/141046481-220,wof-ITA_45
way/143585004-380,ITA_120
way/143585004-380,wof-ITA_148
way/144005861-220,ITA_23
way/144005863-380,ITA_25
way/144005863-380,wof-ITA_46
way/144006711-220,ITA_36
way/144378054-220,ITA_103
way/145665799-220,ITA_217
way/145665799-220,wof-ITA_308
way/145665799-380,ITA_217
way/145665799-380,wof-ITA_308
way/145665862-380,ITA_217
way/145665862-380,wof-ITA_307
way/146791061-380,ITA_212
way/146791061-380,wof-ITA_276
way/146791215-380,ITA_212
way/146791215-380,wof-ITA_277
way/147466201-220,ITA_83
way/148969091-380,ITA_79
way/149188707-220,ITA_108
way/149997403-380,ITA_105
way/149997403-380,wof-ITA_149
way/151070909-220,ITA_94
way/151335166-220,ITA_83
way/152457216-220,ITA_84
way/152465478-220,ITA_95
way/152597636-380,ITA_43
way/153548074-220,ITA_84
way/153548156-220,ITA_84
way/153772895-220,ITA_84
way/155158689-380,ITA_106
way/155158689-380,wof-ITA_131
way/155590373-380,ITA_189
way/155590373-380,wof-ITA_241
way/155791516-380,ITA_81
way/155976563-220,ITA_124
way/155976563-220,wof-ITA_152
way/155976582-220,ITA_125
way/156001963-220,ITA_81
way/156001981-220,ITA_81
way/157666416-220,ITA_117
way/157912118-380,ITA_180
way/157912118-380,wof-ITA_241
way/158599954-220,ITA_55
way/158599954-220,wof-ITA_88
way/158652469-220,ITA_150
way/158739183-380,ITA_105
way/158739183-380,wof-ITA_149
way/159158469-220,ITA_178
way/159158469-220,wof-ITA_224
way/159821869-220,ITA_125
way/161867064-220,ITA_93
way/162066055-220,ITA_81
way/162066058-220,ITA_81
way/162828577-220,ITA_30
way/162828577-380,ITA_30
way/162960205-220,ITA_42
way/162960205-380,ITA_42
way/163056522-220,ITA_60
way/163056526-220,ITA_60
way/163058980-220,ITA_69
way/163789376-220,ITA_60
way/163958919-220,ITA_42
way/163958920-220,ITA_42
way/166196787-220,ITA_59
way/171270810-380,ITA_185
way/171270810-380,wof-ITA_246
way/172302572-380,ITA_115
way/172302572-380,wof-ITA_147
way/172705586-220,ITA_130
way/172705586-220,wof-ITA_178
way/181125039-220,ITA_91
way/181125039-380,ITA_91
way/185576620-220,ITA_210
way/185576620-220,wof-ITA_291
way/189137043-220,ITA_82
way/189612607-380,ITA_42
way/194186027-220,ITA_180
way/194186027-220,wof-ITA_226
way/199675964-380,ITA_201
way/199675964-380,wof-ITA_272
way/199676823-380,ITA_201
way/199676823-380,wof-ITA_272
way/202178573-220,ITA_162
way/202178573-220,wof-ITA_201
way/202179060-220,ITA_162
way/202179060-220,wof-ITA_201
way/202271565-380,ITA_42
way/202272734-220,ITA_92
way/202272734-220,wof-ITA_132
way/202711181-220,ITA_162
way/202711181-220,wof-ITA_216
way/202772821-220,ITA_71
way/203225567,ITA_14
way/203225567,wof-ITA_35
way/203468251-220,ITA_42
way/205597560-220,ITA_81
way/207383904-220,ITA_162
way/207383904-220,wof-ITA_201
way/208398923-380,ITA_80
way/209982720-380,ITA_185
way/211180338-380,ITA_58
way/214294769-220,ITA_109
way/222427976-220,ITA_115
way/222427976-220,wof-ITA_147
way/236661269-380,ITA_42
way/255011550-380,ITA_33
way/255011550-380,wof-ITA_55
way/257351439-380,ITA_184
way/288149641-220,ITA_42
way/289178949-220,ITA_81
way/296141722-220,ITA_28
way/296141722-220,wof-ITA_52
way/303915533-220,ITA_33
way/303915533-220,wof-ITA_55
way/303915533-380,ITA_33
way/303915533-380,wof-ITA_55
way/303965869-380,ITA_201
way/303965869-380,wof-ITA_258
way/309371152-220,ITA_7
way/309371153-220,ITA_7
way/321724202-380,ITA_213
way/321724202-380,wof-ITA_307
way/335012182-220,ITA_19
way/338453112-380,ITA_79
way/338753171-380,ITA_178
way/338753171-380,wof-ITA_224
way/338760116-380,ITA_211
way/338760116-380,wof-ITA_276
way/338790588-380,ITA_204
way/338792752-380,ITA_186
way/338792752-380,wof-ITA_232
way/338795626-380,ITA_185
way/338795626-380,wof-ITA_246
way/338948868-220,ITA_145
way/338948868-220,wof-ITA_178
way/338969614-220,ITA_180
way/338969614-220,wof-ITA_226
way/339104227-380,ITA_58
way/339703159-220,ITA_88
way/339703159-380,ITA_88
way/339706878-380,ITA_148
way/339706879-220,ITA_150
way/339706879-380,ITA_150
way/339706880-380,ITA_100
way/339706880-380,wof-ITA_130
way/34157795-220,ITA_42
way/34157795-380,ITA_42
way/348500306-220,ITA_60
way/350356755-220,ITA_68
way/354923815-220,ITA_42
way/35680992-220,ITA_95
way/363469921-380,ITA_91
way/363469921-380,wof-ITA_131
way/36873258-220,ITA_152
way/36873258-220,wof-ITA_187
way/36873258-380,ITA_152
way/36873258-380,wof-ITA_187
way/370531649-220,ITA_41
way/375892272-220,ITA_10
way/375892272-220,wof-ITA_43
way/375907988-220,ITA_129
way/375907988-220,wof-ITA_158
way/375908008-220,ITA_112
way/375908008-220,wof-ITA_138
way/375922075-220,ITA_167
way/375922075-220,wof-ITA_209
way/375922076-220,ITA_178
way/375922076-220,wof-ITA_224
way/376351180-220,ITA_150
way/376502663-220,ITA_162
way/376502663-220,wof-ITA_201
way/376502734-220,ITA_162
way/376502734-220,wof-ITA_201
way/376642649-220,ITA_42
way/376952592-220,ITA_162
way/376952592-220,wof-ITA_216
way/376952616-220,ITA_173
way/376952616-220,wof-ITA_216
way/377444648-220,ITA_162
way/377444648-220,wof-ITA_201
way/377444657-220,ITA_162
way/377444657-220,wof-ITA_201
way/377588184-220,ITA_162
way/377588184-220,wof-ITA_201
way/377588185-220,ITA_162
way/377588185-220,wof-ITA_216
way/377588191-220,ITA_162
way/377588191-220,wof-ITA_216
way/377588196-220,ITA_162
way/377588196-220,wof-ITA_201
way/377830944-220,ITA_7
way/377832777-220,ITA_71
way/392068532-380,ITA_186
way/392068532-380,wof-ITA_232
way/39255054-380,ITA_68
way/40634284-220,ITA_78
way/40634284-380,ITA_78
way/409439916-380,ITA_14
way/409439916-380,wof-ITA_35
way/409768426-220,ITA_35
way/411026199-380,ITA_175
way/411026199-380,wof-ITA_232
way/412967421-220,ITA_60
way/412967424-220,ITA_72
way/41360305-380,ITA_78
way/414663585-380,ITA_65
way/414663585-380,wof-ITA_87
way/416679116-220,ITA_107
way/416679116-220,wof-ITA_132
way/416679117-220,ITA_107
way/416679117-220,wof-ITA_151
way/416989699-380,ITA_85
way/416989699-380,wof-ITA_113
way/418565263-380,ITA_185
way/418565263-380,wof-ITA_246
way/418565264-380,ITA_186
way/418565264-380,wof-ITA_232
way/418902800-380,ITA_216
way/418902800-380,wof-ITA_307
way/41892273-220,ITA_153
way/41892273-220,wof-ITA_191
way/41892273-380,ITA_153
way/41892273-380,wof-ITA_191
way/41892273-400,ITA_153
way/41892273-400,wof-ITA_191
way/419423700-220,ITA_163
way/419423700-220,wof-ITA_202
way/419423704-220,ITA_163
way/419423704-220,wof-ITA_202
way/419423704-380,ITA_163
way/419423704-380,wof-ITA_202
way/419423705-380,ITA_163
way/419423705-380,wof-ITA_202
way/420698910-220,ITA_173
way/421827453-380,ITA_57
way/42206116-380,ITA_59
way/42862642-220,ITA_84
way/432729521-380,ITA_212
way/432729521-380,wof-ITA_277
way/432871051-220,ITA_24
way/432871051-220,wof-ITA_45
way/432871052-220,ITA_24
way/432871052-220,wof-ITA_45
way/435429368-220,ITA_162
way/435429368-220,wof-ITA_201
way/435433908-220,ITA_162
way/435433908-220,wof-ITA_201
way/435433909-220,ITA_162
way/435433909-220,wof-ITA_201
way/436352445-220,ITA_115
way/436352445-220,wof-ITA_147
way/448777455-220,ITA_42
way/449694943-380,ITA_196
way/449694943-380,wof-ITA_246
way/491424937-380,ITA_3
way/491424937-400,ITA_3
way/495354824-380,ITA_195
way/504195617-220,ITA_162
way/504195617-220,wof-ITA_201
way/50589203-220,ITA_169
way/50589203-220,wof-ITA_225
way/507064051-220,ITA_143
way/507064051-220,wof-ITA_177
way/527885953-380,ITA_88
way/53635045-220,ITA_129
way/53635045-220,wof-ITA_158
way/56984450-220,ITA_143
way/56984450-220,wof-ITA_177
way/57380344-220,ITA_167
way/57380344-220,wof-ITA_209
way/57384507-220,ITA_168
way/57384507-380,ITA_168
way/57403755-220,ITA_144
way/577074555,ITA_165
way/577074555,wof-ITA_203
way/57736541-220,ITA_130
way/57736541-220,wof-ITA_159
way/57736553-220,ITA_145
way/57736553-220,wof-ITA_178
way/58440884-380,ITA_69
way/58516664-220,ITA_7
way/58931857-380,ITA_134
way/58992998-380,ITA_140
way/58992998-380,wof-ITA_172
way/59026315-220,ITA_124
way/59026315-220,wof-ITA_152
way/59026315-380,ITA_124
way/59026315-380,wof-ITA_152
way/590522266-220,ITA_140
way/590522266-220,wof-ITA_191
way/590522266-380,ITA_140
way/590522266-380,wof-ITA_191
way/591027058-380,ITA_180
way/591027058-380,wof-ITA_226
way/59153311-220,ITA_107
way/59153311-220,wof-ITA_132
way/59153311-380,ITA_107
way/59153311-380,wof-ITA_132
way/59219335-380,ITA_85
way/59219335-380,wof-ITA_113
way/59366523-220,ITA_107
way/59366523-220,wof-ITA_132
way/59366523-380,ITA_107
way/59366523-380,wof-ITA_132
way/59462263-380,ITA_141
way/59462715-380,ITA_140
way/59462715-380,wof-ITA_191
way/59556712-220,ITA_92
way/59556712-380,ITA_92
way/59604857-220,ITA_140
way/59604857-220,wof-ITA_172
way/59620552-220,ITA_84
way/59629638-220,ITA_28
way/59629638-220,wof-ITA_52
way/60235685-380,ITA_175
way/60235685-380,wof-ITA_232
way/60616350-380,ITA_176
way/60616350-380,wof-ITA_217
way/60725875-220,ITA_153
way/60725875-220,wof-ITA_191
way/60725875-380,ITA_153
way/60725875-380,wof-ITA_191
way/60888331-380,ITA_216
way/60888331-380,wof-ITA_307
way/60913666-380,ITA_211
way/60913666-380,wof-ITA_276
way/60919237-220,ITA_216
way/60919237-220,wof-ITA_307
way/60919237-380,ITA_216
way/60919237-380,wof-ITA_307
way/61038773-220,ITA_153
way/61157826-380,ITA_169
way/61463169-220,ITA_141
way/61484190-220,ITA_28
way/61484190-220,wof-ITA_60
way/61626687-380,ITA_150
way/61650514-220,ITA_141
way/61712456-220,ITA_117
way/61712456-380,ITA_117
way/62326314-220,ITA_42
way/62326314-380,ITA_42
way/64200868-380,ITA_71
way/64942789-380,ITA_93
way/653230504-380,ITA_195
way/66872608-220,ITA_8
way/67461115-220,ITA_30
way/68299044-220,ITA_42
way/68299044-380,ITA_42
way/72466334-220,ITA_71
way/72466334-380,ITA_71
way/72475426-380,ITA_58
way/72570378-380,ITA_32
way/72570474-380,ITA_31
way/72581705-380,ITA_31
way/74210017-380,ITA_30
way/74359510-220,ITA_43
way/74677138-380,ITA_43
way/74943205-380,ITA_139
